Date,Symbol,Close
2019-06-09 10-PM,BTCUSD,7549.80
2019-06-09 09-PM,BTCUSD,7632.70
2019-06-09 08-PM,BTCUSD,7702.96
2019-06-09 07-PM,BTCUSD,7745.50
2019-06-09 06-PM,BTCUSD,7684.10
2019-06-09 05-PM,BTCUSD,7658.90
2019-06-09 04-PM,BTCUSD,7651.40
2019-06-09 03-PM,BTCUSD,7757.16
2019-06-09 02-PM,BTCUSD,7790.50
2019-06-09 01-PM,BTCUSD,7750.00
2019-06-09 12-PM,BTCUSD,7765.10
2019-06-09 11-AM,BTCUSD,7876.00
2019-06-09 10-AM,BTCUSD,7889.70
2019-06-09 09-AM,BTCUSD,7896.10
2019-06-09 08-AM,BTCUSD,7919.90
2019-06-09 07-AM,BTCUSD,7919.60
2019-06-09 06-AM,BTCUSD,7882.10
2019-06-09 05-AM,BTCUSD,7895.07
2019-06-09 04-AM,BTCUSD,7888.50
2019-06-09 03-AM,BTCUSD,7880.20
2019-06-09 02-AM,BTCUSD,7867.00
2019-06-09 01-AM,BTCUSD,7890.90
2019-06-09 12-AM,BTCUSD,7893.60
2019-06-08 11-PM,BTCUSD,7924.00
2019-06-08 10-PM,BTCUSD,7944.80
2019-06-08 09-PM,BTCUSD,7893.00
2019-06-08 08-PM,BTCUSD,7874.90
2019-06-08 07-PM,BTCUSD,7827.80
2019-06-08 06-PM,BTCUSD,7839.60
2019-06-08 05-PM,BTCUSD,7844.40
2019-06-08 04-PM,BTCUSD,7846.07
2019-06-08 03-PM,BTCUSD,7949.90
2019-06-08 02-PM,BTCUSD,7923.70
2019-06-08 01-PM,BTCUSD,7950.00
2019-06-08 12-PM,BTCUSD,7937.10
2019-06-08 11-AM,BTCUSD,7991.81
2019-06-08 10-AM,BTCUSD,7971.40
2019-06-08 09-AM,BTCUSD,7992.60
2019-06-08 08-AM,BTCUSD,7968.30
2019-06-08 07-AM,BTCUSD,7919.94
2019-06-08 06-AM,BTCUSD,7899.94
2019-06-08 05-AM,BTCUSD,7938.50
2019-06-08 04-AM,BTCUSD,7971.00
2019-06-08 03-AM,BTCUSD,7945.60
2019-06-08 02-AM,BTCUSD,7968.10
2019-06-08 01-AM,BTCUSD,7973.10
2019-06-08 12-AM,BTCUSD,8055.80
2019-06-07 11-PM,BTCUSD,7999.40
2019-06-07 10-PM,BTCUSD,8017.00
2019-06-07 09-PM,BTCUSD,7954.40
2019-06-07 08-PM,BTCUSD,7885.60
2019-06-07 07-PM,BTCUSD,7951.60
2019-06-07 06-PM,BTCUSD,8082.30
2019-06-07 05-PM,BTCUSD,8088.00
2019-06-07 04-PM,BTCUSD,8059.00
2019-06-07 03-PM,BTCUSD,7953.92
2019-06-07 02-PM,BTCUSD,7933.60
2019-06-07 01-PM,BTCUSD,7979.49
2019-06-07 12-PM,BTCUSD,7924.90
2019-06-07 11-AM,BTCUSD,7920.00
2019-06-07 10-AM,BTCUSD,7974.78
2019-06-07 09-AM,BTCUSD,7962.60
2019-06-07 08-AM,BTCUSD,7983.10
2019-06-07 07-AM,BTCUSD,7960.00
