Wallet History  2019-5-17
Time,Type,Amount,Symbol ,Balance
"6/16/2019, 3:19:08 PM",Deposit,25857358,,33657870
"1/19/2019, 7:00:00 AM",RealisedPNL,-7267,ADAH19,7800512
"1/17/2019, 7:00:00 AM",RealisedPNL,-32580,XBTUSD,7807779
"1/17/2019, 7:00:00 AM",RealisedPNL,-57914,ADAH19,7840359
"1/15/2019, 7:00:00 AM",RealisedPNL,268576,ETHUSD,7898273
"1/14/2019, 7:00:00 AM",RealisedPNL,56683,LTCH19,7629697
"1/14/2019, 7:00:00 AM",RealisedPNL,556,ETHUSD,7573014
"1/14/2019, 7:00:00 AM",RealisedPNL,-160615,ADAH19,7572458
"1/12/2019, 7:00:00 AM",RealisedPNL,2098,ADAH19,7733073
"1/11/2019, 7:00:00 AM",RealisedPNL,-45128,XBTUSD,7730975
"1/11/2019, 7:00:00 AM",RealisedPNL,-56758,EOSH19,7776103
"1/3/2019, 7:00:00 AM",RealisedPNL,458957,ETHUSD,7832861
"1/2/2019, 7:00:00 AM",RealisedPNL,-3831,ETHUSD,7373904
"12/30/2018, 7:00:00 AM",RealisedPNL,24242,ETHUSD,7377735
"12/29/2018, 7:00:00 AM",RealisedPNL,-2781,ETHUSD,7353493
"12/27/2018, 7:00:00 AM",RealisedPNL,-24202,ETHZ18,7356274
"12/26/2018, 7:00:00 AM",RealisedPNL,-431235,EOSZ18,7380476
"12/25/2018, 7:00:00 AM",RealisedPNL,-158319,EOSZ18,7811711
"12/24/2018, 7:00:00 AM",RealisedPNL,-8650,EOSZ18,7970030
"12/22/2018, 7:00:00 AM",RealisedPNL,-113715,XBTUSD,7978680
"12/22/2018, 7:00:00 AM",RealisedPNL,-88230,EOSZ18,8092395
"12/21/2018, 5:59:03 PM",Deposit,4950000,,8180625
"12/21/2018, 7:00:00 AM",RealisedPNL,1155,EOSZ18,3230625
"12/20/2018, 7:00:00 AM",RealisedPNL,17664,XRPZ18,3229470
"12/20/2018, 7:00:00 AM",RealisedPNL,76289,XBTUSD,3211806
"12/18/2018, 7:00:00 AM",RealisedPNL,281065,EOSZ18,3135517
"12/17/2018, 7:00:00 AM",RealisedPNL,883,EOSZ18,2854452
"12/1/2018, 7:00:00 AM",RealisedPNL,-106431,TRXZ18,2853569
"11/29/2018, 5:20:00 PM",Deposit,2960000,,2960000
"10/9/2018, 8:00:00 AM",RealisedPNL,-14074,XBTUSD,0
"10/8/2018, 4:25:17 PM",Withdrawal,-8932723,1J3L61q9GPfMmxuPrQsPnon9ULgPG92SqU,14074
"10/3/2018, 8:00:00 AM",RealisedPNL,-16680,ADAZ18,8946797
"9/29/2018, 8:00:00 AM",RealisedPNL,-98184,ETHUSD,8963477
"9/25/2018, 8:00:00 AM",RealisedPNL,-3962,XBTUSD,9061661
"9/25/2018, 8:00:00 AM",RealisedPNL,96276,ETHUSD,9065623
"9/24/2018, 8:00:00 AM",RealisedPNL,-4471,ETHUSD,8969347
"9/22/2018, 8:00:00 AM",RealisedPNL,-16721,XBTUSD,8973818
"9/21/2018, 8:00:00 AM",RealisedPNL,-121653,ETHUSD,8990539
"9/19/2018, 8:00:00 AM",RealisedPNL,-78573,ETHUSD,9112192
"9/18/2018, 8:00:00 AM",RealisedPNL,120038,ETHUSD,9190765
"9/17/2018, 8:00:00 AM",RealisedPNL,-1993,ETHUSD,9070727
"9/16/2018, 8:00:00 AM",RealisedPNL,-6143,ETHUSD,9072720
"9/15/2018, 8:00:00 AM",RealisedPNL,-5805,ETHUSD,9078863
"9/14/2018, 8:00:00 AM",RealisedPNL,-2033,ETHUSD,9084668
"9/6/2018, 8:00:00 AM",RealisedPNL,-171567,XBTUSD,9086701
"9/5/2018, 8:00:00 AM",RealisedPNL,-26747,XBTUSD,9258268
"9/4/2018, 8:00:00 AM",RealisedPNL,-2270,XBTUSD,9285015
"9/3/2018, 8:00:00 AM",RealisedPNL,-3891,XBTUSD,9287285
"9/2/2018, 8:00:00 AM",RealisedPNL,1421,XBTUSD,9291176
"8/30/2018, 8:00:00 AM",RealisedPNL,260938,XBTUSD,9289755
"8/30/2018, 8:00:00 AM",RealisedPNL,-143781,ETHUSD,9028817
"8/29/2018, 8:00:00 AM",RealisedPNL,-1913,XBTUSD,9172598
"8/28/2018, 8:00:00 AM",RealisedPNL,1161,XBTUSD,9174511
"8/26/2018, 8:00:00 AM",RealisedPNL,-73481,XBTUSD,9173350
"8/25/2018, 8:00:00 AM",RealisedPNL,-19191,XBTUSD,9246831
"8/23/2018, 8:00:00 AM",RealisedPNL,-5155,XBTUSD,9266022
"8/22/2018, 8:00:00 AM",RealisedPNL,-489331,XBTUSD,9271177
"8/20/2018, 8:00:00 AM",RealisedPNL,424416,XBTUSD,9760508
"8/19/2018, 8:00:00 AM",RealisedPNL,9486,XBTUSD,9336092
"8/18/2018, 8:00:00 AM",RealisedPNL,4690,XBTUSD,9326606
"8/17/2018, 8:00:00 AM",RealisedPNL,4175,XBTUSD,9321916
"8/16/2018, 2:59:15 PM",Deposit,2450000,,9317741
"8/16/2018, 8:00:00 AM",RealisedPNL,7038,XBTUSD,6867741
"8/15/2018, 8:00:00 AM",RealisedPNL,13825,XBTUSD,6860703
"8/14/2018, 8:00:00 AM",RealisedPNL,1190,XBTUSD,6846878
"8/12/2018, 8:00:00 AM",RealisedPNL,-104312,ETHUSD,6845688
"8/8/2018, 2:20:43 PM",Deposit,6950000,,6950000
